WORD	IMAG
bow	546
bowl	579
box	591
boy	618
bra	624
bracelet	606
brain	572
brake	511
bramble	377
branch	548
brandy	590
brass	524
brassiere	635
brat	536
brave	427
bravery	450
brawl	485
bread	619
break	398
breakfast	586
breast	597
breath	480
bred	387
breeze	560
bribe	425
brick	574
bridge	608
brief	344
brigand	332
bright	489
brilliant	482
brim	510
brisket	370
bristle	562
broad	463
brocade	416
broil	515
broke	485
broken	469
bronze	588
brook	597
broom	608
brother	589
brownie	553
brush	570
brut	392
brutal	427
brutality	489
brute	481
bubal	233
bubble	604
bucket	586
buckle	587
bud	508
budget	394
buffer	459
buffoon	393
build	399
builder	551
building	578
bulky	458
bulldog	583
bullet	611
bump	476
bunch	486
bungalow	543
bunny	585
buoyant	426
burden	499
bureau	497
burgher	317
burial	544
burlap	488
burn	541
burner	488
burro	638
burrow	444
bury	401
bush	549
business	441
busy	403
busybody	510
but	206
butcher	596
butler	543
butter	603
butterfly	624
button	580
butyl	269
buy	397
buyer	463
by	229
byre	231
cabbage	573
cabin	582
cabinet	524
cable	469
cache	303
cafe	625
cage	585
cake	624
calculus	435
calf	565
calix	248
call	424
calm	439
calmness	437
came	288
camel	561
camera	576
camouflage	513
camp	588
can	369
canal	588
canary	533
cancer	567
candid	337
candidate	452
candle	594
candlelight	599
candy	601
cane	608
cannon	588
canoe	602
canon	493
canteen	540
capable	315
capacity	373
cape	566
capital	518
capitol	545
capitulate	262
capsule	594
captain	497
captive	518
car	638
carat	345
caravan	562
carbohydrate	461
carbon	445
card	578
cardinal	531
care	383
career	418
carefree	446
careful	346
careless	361
cargo	497
carnage	351
carnation	611
carol	499
carp	539
carpet	538
carriage	529
carrot	577
carry	393
cart	597
cartilage	421
case	517
casement	468
cash	588
casket	588
casque	280
cast	483
caste	423
castor	429
cat	617
catastrophe	435
caterpillar	626
catfish	544
cathedral	599
cattle	619
caucus	366
caught	401
caul	188
cauliflower	567
causality	334
cause	282
caustic	317
cautious	363
cave	601
cavern	548
cedar	516
cede	240
ceiling	557
cell	590
cellar	572
cement	578
cent	518
centennial	421
center	459
century	395
cereal	576
cerebrum	518
ceremony	523
certificate	529
chain	559
chair	610
chalk	601
challenge	402
chamois	464
champion	508
chance	354
channel	508
chaos	464
chaotic	434
chapel	560
character	372
charity	445
charlatan	350
charm	455
charming	461
chart	531
charter	406
chasm	456
chassis	386
chatterbox	516
cheat	457
cheek	561
cheered	424
cheerful	475
cheery	449
cheese	592
chemistry	458
cherry	582
chest	556
chestnut	602
chew	527
chic	437
chicken	619
chief	545
child	619
childhood	489
childish	417
children	597
chilly	460
chin	608
china	597
chinchilla	530
chink	429
chipmunk	609
chisel	567
chloride	435
chlorine	480
chocolate	611
choir	567
choose	299
chop	575
choral	490
chorus	509
chow	326
christmas	629
chrome	491
chronology	291
chuckle	497
church	616
chute	467
cider	626
cigar	619
cigarette	645
cinder	519
cinnamon	571
cinque	239
circle	591
circuit	472
circular	543
circumstance	210
circus	586
citation	386
cite	331
citizen	445
city	605
civil	317
civilization	437
claim	321
clam	541
clammy	466
clamor	406
clamour	362
clang	445
clarinet	593
clash	456
clasp	456
claw	600
clay	575
clean	454
cleanness	479
clear	456
clearance	319
cleat	481
cleaver	478
clemency	334
clever	378
client	443
cliff	599
clinch	423
clink	472
cloak	518
clock	614
close	420
closer	393
closet	525
cloth	547
clothes	629
clothing	588
cloud	595
clove	446
clover	606
clown	589
club	522
clue	375
clumsy	436
clung	354
coach	560
coal	581
coarse	494
coast	588
coat	572
cock	586
cockpit	594
cocktail	604
code	460
coffee	618
coffer	302
coffin	606
cognition	321
coif	202
coil	492
coin	603
coke	623
cold	531
collar	582
collection	419
college	590
collegiate	216
cologne	586
colonel	552
colony	481
color	513
colouration	435
column	491
combination	326
combine	359
combustion	505
come	322
comedy	489
comes	283
comestible	183
comet	521
comfort	421
comfortable	434
comforter	499
command	366
commander	478
commencement	291
commercial	460
committee	481
commode	447
common	276
communication	391
community	416
compact	462
company	426
comparison	336
compatriot	405
competence	339
competent	295
competition	443
complacent	365
complete	341
complication	289
compliment	406
composer	467
composure	361
comprehensive	278
compression	375
computation	329
comrade	515
comradeship	450
concave	480
conceited	410
concept	258
concern	353
concert	578
conclusion	345
concrete	564
concurrence	256
condemn	349
condescension	295
condition	297
cone	559
conference	465
confidence	371
confident	390
confiscate	393
conflict	432
confusion	437
congenial	352
congress	356
conjugation	272
conjunction	361
connoisseur	513
conquest	422
conscience	386
conscientious	354
conscious	354
consequence	299
conservation	391
conservative	373
consider	264
considerable	297
consideration	318
consist	249
consistent	298
consolation	335
conspirator	386
constant	290
constitution	395
construction	410
consummation	324
contact	449
contamination	456
content	391
contents	386
context	274
continent	478
continuation	321
continued	281
contract	457
contraction	397
contradictory	285
contribution	394
control	347
convent	559
convention	502
conveyance	397
convocation	151
cook	504
cookie	600
cool	429
coolness	462
cope	344
copious	304
copper	548
coral	561
cord	549
core	497
cork	631
corkscrew	580
corn	601
corner	556
cornet	436
cornice	302
corporation	337
corps	408
corpse	614
correspondent	424
corridor	553
corse	183
cost	401
costume	538
cottage	607
cotton	562
couch	536
could	210
coulomb	257
council	405
count	459
counterpane	418
country	539
courage	440
course	391
court	552
