lower	AOA
enunciation	678
envy	431
epicure	660
epitaph	614
equanimity	678
equipment	447
error	425
escape	353
essay	450
establishment	526
estimate	503
ether	625
etiquette	619
evacuation	550
evangelist	631
evening	303
evergreen	422
evidence	480
ewe	378
examination	458
exasperation	578
exception	472
exchange	443
excitement	400
excuse	356
executive	547
exhaust	429
expanse	547
expedition	467
experience	464
explanation	444
exploration	423
express	467
extent	489
exterior	486
extra	331
extreme	458
eye	167
eyrie	556
face	166
factor	474
failure	439
fairy	242
falsehood	531
family	280
fane	639
farewell	406
farmyard	261
fashion	467
fat	236
fatherland	531
favourite	303
fawn	394
feast	351
fee	444
feeling	339
fellow	378
fencing	497
ferry	378
fervour	586
fever	358
fiddle	367
fielder	458
fifteen	289
fight	261
filling	347
finance	522
find	272
finish	300
firewood	331
fisherman	289
fissure	631
flag	258
flame	261
flash	314
flavour	342
fleece	367
flesh	411
flock	294
flora	569
flourish	489
flue	561
flutter	463
flyer	406
foe	453
following	394
font	547
football	233
footstep	317
force	372
forearm	436
foreigner	447
forelock	542
forest	297
forfeit	533
fork	225
form	383
fort	328
fortification	561
fortune	375
foundation	478
fountain	389
fox	283
frame	394
franchise	650
fraud	519
freedom	425
freight	542
frenzy	506
friar	483
friendship	383
frill	383
frog	258
frost	264
fruit	219
fudge	278
fullness	453
function	511
furnace	428
fury	417
future	414
gabardine	528
gain	389
gallery	442
game	242
gang	336
garden	186
garment	453
gas	339
gasp	367
gauntlet	511
geese	314
generation	489
genius	480
gentleman	347
gentry	556
geography	450
germ	319
gesture	494
giant	256
gig	564
gingerbread	300
girl	183
giver	392
glare	444
gleam	403
glimpse	450
globe	364
glove	228
glut	550
goal	294
godhead	614
golf	364
gondola	508
goodness	314
gore	547
gospel	444
government	453
grade	417
graduate	592
gramercy	683
grandfather	214
grandmother	208
grape	297
graphite	586
grave	339
gravy	269
greed	294
green	225
greenness	375
grief	450
grievance	542
grip	325
groan	342
ground	258
grove	483
growth	378
guard	344
guess	292
guide	367
gulf	456
gun	228
gush	453
guy	358
habit	350
haddock	389
hail	354
half	267
hall	283
halter	511
hammer	278
handkerchief	289
handmaid	508
hank	583
happiness	333
harbour	319
hare	281
harm	306
harness	458
harpsichord	511
harvest	322
haste	434
hate	278
haul	456
havoc	469
hay	297
head	181
health	400
heap	319
heart	281
heat	278
heaven	272
hedge	306
height	294
hell	314
help	222
hen	219
henchman	578
herd	325
herdsman	458
heresy	628
hero	361
herring	397
hesitation	523
hide	256
hierarchy	633
highway	436
hill	256
hind	469
hint	408
history	369
hive	319
hobby	361
hold	267
holiday	258
home	233
honey	286
honour	439
hoof	306
hop	289
horn	308
horror	372
hose	314
hospital	319
hotel	308
household	414
howl	269
howler	478
hue	544
human	369
humankind	514
humour	417
hump	369
hunger	275
hunter	342
hurt	219
hush	246
huzza	667
hygiene	481
hypothesis	644
ice	261
ideal	461
identification	528
idleness	503
ignition	500
illiteracy	578
illusion	542
imagination	408
imitator	503
immensity	567
immortality	592
immunity	589
impatience	425
impediment	619
imperfection	531
impersonation	522
impetus	644
importance	406
impossible	358
impression	486
imprint	542
improvement	442
impunity	664
inaction	589
inauguration	639
incantation	656
incident	458
incline	500
income	506
incongruity	672
increase	419
incredulity	656
incursion	664
independence	522
indication	481
indigenous	658
indiscretion	631
individual	454
indolence	651
industry	492
inefficiency	560
inexperience	536
infallibility	639
infantry	475
inferno	525
infinity	575
influence	542
information	397
infringement	633
inhabitant	469
inhibition	617
initiation	597
inn	344
innocence	478
inoculation	531
inquiry	483
insect	283
insight	546
insistence	556
insolence	511
instance	471
instinct	489
institution	553
insufficiency	589
insurance	508
intelligence	458
intemperance	651
intention	481
interest	411
interior	481
intermission	522
interposition	642
interruption	442
interview	494
intimation	608
intoxication	597
introduction	481
invader	439
invention	406
investigation	486
invitation	361
iodine	558
iron	281
irony	606
irregularity	564
irrigation	564
irritation	508
island	289
issue	472
item	406
jack	414
jade	572
janitor	381
jar	242
jaw	361
jeer	486
jerk	400
jersey	306
jewel	292
jingle	386
jobber	639
joke	289
jolt	431
journal	447
joy	342
judgement	497
juice	250
jump	222
junior	356
justice	500
justification	603
kale	575
keel	500
keeper	392
kennel	322
kettle	274
kick	228
kilt	300
kindness	328
kink	523
kitten	219
knee	231
knitting	286
knowledge	477
knuckle	356
labour	506
lad	306
lady	231
lamb	186
lamp	283
land	286
lane	261
lap	263
larch	406
larkspur	622
latch	386
latter	536
laughter	322
laundry	367
law	383
lawyer	481
lead	400
leader	353
leak	336
learning	322
lecture	536
leek	389
legality	572
leghorn	625
lemon	280
length	322
lens	475
lesson	272
letter	256
levity	631
liar	308
liberty	528
lie	250
lieutenant	461
lift	311
lightning	331
lily	317
lime	378
line	275
linen	386
lion	244
liquid	343
lisp	486
literature	494
liver	353
loan	428
lobby	406
lock	328
lodge	456
logic	550
look	225
lord	342
loss	331
love	303
lowland	447
loyalty	497
luck	292
lumber	519
lunch	275
lunge	508
luxury	472
lymph	675
lynx	511
macaroni	381
machinery	409
mackerel	436
madman	417
magazine	353
magic	281
magnesium	625
maiden	429
main	364
majority	531
maker	358
male	383
mall	589
management	508
manganese	661
manicure	536
mankind	467
manor	419
manufacturer	525
marble	294
march	269
margin	403
market	328
marl	686
marriage	383
marvel	489
mass	458
mast	392
material	378
maternity	583
matter	411
maturity	553
mayor	436
maze	414
meadow	272
measure	344
mechanic	433
medicine	311
mediocrity	636
meeting	356
melee	626
member	392
men	236
menu	433
merchant	408
merit	444
mermaid	322
messenger	383
metal	308
method	481
methylene	681
mica	626
microbe	622
midnight	328
midshipman	575
might	400
mile	314
military	428
million	419
millstone	464
mineral	469
minister	342
minnow	397
minute	264
mirror	258
mischance	536
misery	450
mismanagement	597
mist	367
mistress	517
mixture	350
moan	328
mocker	547
modernist	614
mohair	583
molasses	606
moment	350
monarch	456
money	247
monocle	531
monsoon	508
monument	444
moonlight	378
moral	539
morass	647
mortal	508
mortar	551
mother	144
motive	511
motor	344
mountain	283
mouse	242
movie	386
mud	239
mule	339
multitude	494
murder	381
muscle	397
music	272
mussel	414
mutilation	574
muzzle	461
mystery	342
nail	272
namesake	519
napkin	342
narrowness	417
nation	425
native	425
nature	342
navy	353
necessity	511
needle	264
neglect	467
neighbour	323
neighbourhood	403
nerve	480
net	269
neutrality	597
newborn	406
newspaper	292
newt	428
nicety	569
night	222
nightingale	419
nip	303
nob	475
nod	203
nomad	511
nonsense	336
normal	375
nose	206
note	292
notice	369
noun	414
novel	475
nozzle	411
number	239
nurse	256
nutrient	611
oak	311
oath	408
object	339
oblivion	639
observation	539
observer	486
obstruction	542
occupation	489
ocean	317
odour	461
offal	633
offshoot	586
oil	303
olive	458
omen	558
onion	286
onslaught	600
opening	336
opportunity	475
opposition	550
optimism	542
orange	203
order	344
organ	356
origin	492
originality	500
ornament	303
oscillation	667
ostentation	653
otter	383
outbreak	444
outfit	417
outhouse	461
outpost	481
outset	509
oven	236
overcoat	381
overlap	444
overproduction	592
overshoe	550
overtone	589
owl	269
